"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FRLMMedication","FRLMMedication","","","",0,*,"","","","null {[]} {[]}
","Logical model - FR LM Medication","Produit de santé","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"FRLMMedication.marketingAuthorisationHolder.organisationName","FRLMMedication.marketingAuthorisationHolder.organisationName","","","",0,1,"","","","string {[]} {[]}
","Nom de l'organisme détenant l'autorisation de commercialisation/fabrication.","Nom de l'organisme détenant l'autorisation de commercialisation/fabrication.","","","","","","","","","",,,,,"",,,,"FRLMMedication.marketingAuthorisationHolder.organisationName",0,1,"",""
"FRLMMedication.marketingAuthorisationHolder.organisationIdentifier","FRLMMedication.marketingAuthorisationHolder.organisationIdentifier","","","",0,*,"","","","Identifier {[]} {[]}
","Identifiant de l'organisation et/ou de son emplacement physique.","Identifiant de l'organisation et/ou de son emplacement physique.","","","","","","","","","",,,,,"",,,,"FRLMMedication.marketingAuthorisationHolder.organisationIdentifier",0,*,"",""
"FRLMMedication.item","FRLMMedication.item","","","",0,*,"","","","Base {[]} {[]}
","Dans le cas de conditionnements combinés, chaque ingrédient dispose de sa propre forme galénique, ses propres ingrédients et leurs dosages respectifs.","Dans le cas de conditionnements combinés, chaque ingrédient dispose de sa propre forme galénique, ses propres ingrédients et leurs dosages respectifs.","","","","","","","","","",,,,,"",,,,"FRLMMedication.item",0,*,"",""
"FRLMMedication.item.doseForm","FRLMMedication.item.doseForm","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Forme galénique du produit de santé. EDQM Standard Terms (0.4.0.127.0.16.1.1.2.1) / classe PDF (forme galénique).","Forme galénique du produit de santé. EDQM Standard Terms (0.4.0.127.0.16.1.1.2.1) / classe PDF (forme galénique).","","","","","","","","","",,"required","EDQM Standard Terms","","",,,,"FRLMMedication.item.doseForm",0,1,"",""
"FRLMMedication.item.ingredient","FRLMMedication.item.ingredient","","","",1,*,"","","","Base {[]} {[]}
","Ingrédient","Ingrédient","","","","","","","","","",,,,,"",,,,"FRLMMedication.item.ingredient",1,*,"",""
"FRLMMedication.item.ingredient.isActive","FRLMMedication.item.ingredient.isActive","","","",0,1,"","","","boolean {[]} {[]}
","Indique si l'ingrédient est considéré comme un ingrédient actif. Les excipients ne sont généralement pas nécessaires et, par défaut, seuls les ingrédients actifs sont attendus.","Indique si l'ingrédient est considéré comme un ingrédient actif. Les excipients ne sont généralement pas nécessaires et, par défaut, seuls les ingrédients actifs sont attendus.","","","","","","","","","",,,,,"",,,,"FRLMMedication.item.ingredient.isActive",0,1,"",""
"FRLMMedication.item.ingredient.substance","FRLMMedication.item.ingredient.substance","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Substance. Code SMS (2.16.840.1.113883.3.6905.2) de la substance active de l’European Medicines Agency (EMA)","Substance. Code SMS (2.16.840.1.113883.3.6905.2) de la substance active de l’European Medicines Agency (EMA)","","","","","","","","","",,"required","SMS (2.16.840.1.113883.3.6905.2)","","",,,,"FRLMMedication.item.ingredient.substance",1,1,"",""
"FRLMMedication.item.ingredient.strengthInfo","FRLMMedication.item.ingredient.strengthInfo","","","",0,1,"","","","Base {[]} {[]}
","Concentration de l'ingrédient par unité","Concentration de l'ingrédient par unité","","","","","","","","","",,,,,"",,,,"FRLMMedication.item.ingredient.strengthInfo",0,1,"",""
"FRLMMedication.item.ingredient.strengthInfo.strength","FRLMMedication.item.ingredient.strengthInfo.strength","","","",1,1,"","","","Ratio {[]} {[]}
","numérateur/dénominateur. Ex 100 mg/1 ml ou 500 mg / comprimé.","numérateur/dénominateur. Ex 100 mg/1 ml ou 500 mg / comprimé.","","","","","","","","","",,,,,"",,,,"FRLMMedication.item.ingredient.strengthInfo.strength",1,1,"",""
"FRLMMedication.item.ingredient.strengthInfo.basisOfStrengthSubstance","FRLMMedication.item.ingredient.strengthInfo.basisOfStrengthSubstance","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Substance concernée. code SMS (2.16.840.1.113883.3.6905.2) de la substance active de l’European Medicines Agency (EMA)","Substance concernée. code SMS (2.16.840.1.113883.3.6905.2) de la substance active de l’European Medicines Agency (EMA)","","","","","","","","","",,,,,"",,,,"FRLMMedication.item.ingredient.strengthInfo.basisOfStrengthSubstance",0,1,"",""
"FRLMMedication.item.unitOfPresentation","FRLMMedication.item.unitOfPresentation","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Unité de présentation du produit de santé (comprimé, ampoule, tube). En général, le plus petit objet dénombrable du package.
EDQM Standard Terms (0.4.0.127.0.16.1.1.2.1) / classe UOP (Unit of Presentation).","Unité de présentation du produit de santé (comprimé, ampoule, tube). En général, le plus petit objet dénombrable du package.
EDQM Standard Terms (0.4.0.127.0.16.1.1.2.1) / classe UOP (Unit of Presentation).","","","","","","","","","",,,,,"",,,,"FRLMMedication.item.unitOfPresentation",0,1,"",""
"FRLMMedication.item.containedQuantity","FRLMMedication.item.containedQuantity","","","",0,1,"","","","Ratio {[]} {[]}
","Quantité de produit par unité (ex : 3 ml / 1 flacon)","Quantité de produit par unité (ex : 3 ml / 1 flacon)","","","","","","","","","",,,,,"",,,,"FRLMMedication.item.containedQuantity",0,1,"",""
"FRLMMedication.item.amount","FRLMMedication.item.amount","","","",0,1,"","","","Quantity {[]} {[]}
","Nombre d'unités dans un package (ex : 5 ampoules)","Nombre d'unités dans un package (ex : 5 ampoules)","","","","","","","","","",,,,,"",,,,"FRLMMedication.item.amount",0,1,"",""
"FRLMMedication.item.packageType","FRLMMedication.item.packageType","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Conditionnement primaire (ampoule, plaquette,…) EDQM Standard Terms (0.4.0.127.0.16.1.1.2.1) / classe CON (Récipient).","Conditionnement primaire (ampoule, plaquette,…) EDQM Standard Terms (0.4.0.127.0.16.1.1.2.1) / classe CON (Récipient).","","","","","","","","","",,,,,"",,,,"FRLMMedication.item.packageType",0,1,"",""
"FRLMMedication.device","FRLMMedication.device","","","",0,*,"","","","Base {[]} {[]}
","Dispositif d'administration inclus dans le produit. Les dispositifs qui ne sont pas contenus dans le conditionnement du médicament ne sont pas pris en compte.","Dispositif d'administration inclus dans le produit. Les dispositifs qui ne sont pas contenus dans le conditionnement du médicament ne sont pas pris en compte.","","","","","","","","","",,,,,"",,,,"FRLMMedication.device",0,*,"",""
"FRLMMedication.device.deviceQuantity","FRLMMedication.device.deviceQuantity","","","",1,1,"","","","Quantity {[]} {[]}
","Nombre de dispositifs.","Nombre de dispositifs.","","","","","","","","","",,,,,"",,,,"FRLMMedication.device.deviceQuantity",1,1,"",""
"FRLMMedication.device.device[x]","FRLMMedication.device.device[x]","","","",1,1,"","","","CodeableConcept {[]} {[]}
https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMDevice {[]} {[]}","Code du dispositif","Code du dispositif","","","","","","","","","",,,,,"",,,,"FRLMMedication.device.device[x]",1,1,"",""
"FRLMMedication.characteristic","FRLMMedication.characteristic","","","",0,*,"","","","Base {[]} {[]}
","Caractéristiques supplémentaires du produit (par ex. sans sucre, bouchon facile à ouvrir, dosage gradué). Il est prévu que les implémenteurs définissent un ensemble de valeurs (ValueSet) adapté à leurs cas d’usage.","Caractéristiques supplémentaires du produit (par ex. sans sucre, bouchon facile à ouvrir, dosage gradué). Il est prévu que les implémenteurs définissent un ensemble de valeurs (ValueSet) adapté à leurs cas d’usage.","","","","","","","","","",,,,,"",,,,"FRLMMedication.characteristic",0,*,"",""
"FRLMMedication.characteristic.type","FRLMMedication.characteristic.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type de caractéristique","Type de caractéristique","","","","","","","","","",,,,,"",,,,"FRLMMedication.characteristic.type",1,1,"",""
"FRLMMedication.characteristic.value[x]","FRLMMedication.characteristic.value[x]","","","",0,1,"","","","boolean {[]} {[]}
CodeableConcept {[]} {[]}string {[]} {[]}Quantity {[]} {[]}dateTime {[]} {[]}integer {[]} {[]}decimal {[]} {[]}Ratio {[]} {[]}","Valeur de la caractéristique","Valeur de la caractéristique","","","","","","","","","",,,,,"",,,,"FRLMMedication.characteristic.value[x]",0,1,"",""
"FRLMMedication.batch","FRLMMedication.batch","","","",0,1,"","","","Base {[]} {[]}
","Informations relatives au lot d’un médicament. Elles sont généralement enregistrées lors de la dispensation ou de l’administration et sont rarement connues ou pertinentes dans le cadre d’une ordonnance ou d’une demande.","Informations relatives au lot d’un médicament. Elles sont généralement enregistrées lors de la dispensation ou de l’administration et sont rarement connues ou pertinentes dans le cadre d’une ordonnance ou d’une demande.","","","","","","","","","",,,,,"",,,,"FRLMMedication.batch",0,1,"",""
"FRLMMedication.batch.lotNumber","FRLMMedication.batch.lotNumber","","","",0,1,"","","","string {[]} {[]}
","Numéro de lot","Numéro de lot","","","","","","","","","",,,,,"",,,,"FRLMMedication.batch.lotNumber",0,1,"",""
"FRLMMedication.batch.expirationDate","FRLMMedication.batch.expirationDate","","","",0,1,"","","","dateTime {[]} {[]}
","Date d'expiration du produit","Date d'expiration du produit","","","","","","","","","",,,,,"",,,,"FRLMMedication.batch.expirationDate",0,1,"",""
